event id	time of event (UTC)	dead time	decay time (ns)	1st chA height	1st chA position	1st chA integral	1st chB height	1st chB position	1st chB integral	1st chC height	1st chC position	1st chC integral	1st chD height	1st chD position	1st chD integral	2nd chA height	2nd chA position	2nd chA integral	2nd chB height	2nd chB position	2nd chB integral	2nd chC height	2nd chC position	2nd chC integral	2nd chD height	2nd chD position	2nd chD integral
74	1678811640781208.0	6.243005893383581e-05	9048	239.98831	508	7939.1426	179.16461	506	5779.404	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	55.45642	2769	1471.9181	0.0	0	0.0
76	1678811641017423.8	0.0017224894263324513	13506	543.953	509	18347.145	342.41202	510	10692.79	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	75.64899	3886	1883.9369	0.0	0	0.0	0.0	0	0.0
78	1678811641287919.5	0.0014578909702308706	10862	399.9754	508	13676.104	306.5791	509	9605.298	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	71.66583	3224	2056.937	0.0	0	0.0	0.0	0	0.0
81	1678811648837338.0	8.911779584232967e-05	1646	275.99042	509	9139.758	306.5791	508	9850.016	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	293.1379	919	9254.912	87.46002	921	2927.0334
82	1678811651560680.5	0.00015022635066489604	480	291.9845	508	9187.299	334.44574	508	10967.935	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	302.59595	628	9721.656	0.0	0	0.0	0.0	0	0.0
83	1678811651726939.8	0.0010784620642711692	9802	387.97983	510	13303.281	346.39517	509	11805.443	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	238.8964	2960	7051.793	0.0	0	0.0	0.0	0	0.0
84	1678811652083193.2	0.000897758547102889	4660	363.97333	508	12091.29	226.94696	508	7322.524	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	159.26425	1673	4718.952	0.0	0	0.0	0.0	0	0.0
87	1678811654819660.0	0.0009809035324118347	12660	227.97737	507	7523.584	270.74615	509	8145.875	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	143.3317	3673	4014.2175	0.0	0	0.0	0.0	0	0.0
89	1678811656414973.2	0.0002676427926411408	7110	979.96124	511	39551.062	985.7437	512	40911.023	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	469.8265	2289	15376.072	0.0	0	0.0	0.0	0	0.0
90	1678811657494342.0	0.0003235919993037802	2178	395.97687	509	12791.239	374.2618	508	11789.028	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	414.07788	1053	13469.27	0.0	0	0.0	0.0	0	0.0
93	1678811665913168.2	0.00010427414972595296	7826	263.97943	508	8615.318	302.59595	507	9519.106	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	83.615265	2464	2403.3784	0.0	0	0.0	0.0	0	0.0
94	1678811668313501.2	8.205324639795188e-05	2310	367.97183	508	12399.462	294.62967	507	8893.968	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	146.57663	1085	4607.3394	0.0	0	0.0
96	1678811670942150.5	0.00012304828673820632	10128	383.9813	509	12959.409	981.7606	511	39119.11	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	242.87955	3042	7426.0854	0.0	0	0.0	0.0	0	0.0
97	1678811671731915.2	0.0003981206531955596	2744	367.97183	509	11939.191	525.54443	509	17245.113	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	410.09473	1195	12726.078	0.0	0	0.0	0.0	0	0.0
98	1678811673752179.8	0.00016439138603298686	2392	423.96655	509	13771.209	804.25684	509	26503.434	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	310.56226	1107	10037.618	0.0	0	0.0	0.0	0	0.0
99	1678811676396654.0	0.00013884037990334185	5414	519.9465	510	18087.31	537.49384	509	17676.838	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	281.26538	1863	9253.668	0.0	0	0.0
100	1678811676460848.5	0.005346560404243066	2202	299.98154	509	9927.187	175.18149	510	6093.6104	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	465.84338	1060	14999.156	0.0	0	0.0	0.0	0	0.0
101	1678811676629602.0	0.0018355961518895759	2382	355.97626	508	12071.623	234.91327	509	7557.915	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	95.07257	1104	2834.228	0.0	0	0.0
102	1678811678301308.0	0.00023531092916584842	836	387.97983	508	12935.333	274.7293	508	8761.24	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	95.54932	717	2587.4192	0.0	0	0.0	0.0	0	0.0
103	1678811678489480.2	0.001723797017831159	10206	303.98007	509	10267.246	322.51166	510	10287.125	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	131.38226	3061	4268.5947	0.0	0	0.0	0.0	0	0.0
104	1678811678729753.2	0.0013386057265334676	1136	263.97943	508	9211.36	398.16068	508	12482.321	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	661.54034	792	21147.701	59.639526	792	1692.1854
105	1678811680068136.0	0.00025135192957585653	11774	347.9792	508	11763.381	218.98068	509	6322.2764	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	71.3121	3452	1917.639	0.0	0	0.0
107	1678811685664737.2	0.00011595345208817171	268	347.9792	509	11896.084	183.14774	509	5861.2637	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	51.50406	576	1409.8955	0.0	0	0.0
108	1678811688428485.0	0.00011879244759544935	8320	267.97797	508	8739.574	203.0635	508	6078.504	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	71.66583	2588	1909.1448	0.0	0	0.0	0.0	0	0.0
113	1678811705196946.5	0.00022948767477988188	242	271.9765	509	9479.632	274.72934	510	9485.361	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	764.4408	570	34332.438	0.0	0	0.0	0.0	0	0.0
114	1678811706023805.0	0.0004195358981441808	1488	387.97983	509	12763.172	214.99753	509	6523.1587	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	305.02582	881	10086.774	0.0	0	0.0
115	1678811707680019.8	0.0001363344181061321	244	391.97833	510	13619.451	254.8136	510	8292.308	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	102.99274	571	2811.8042	0.0	0	0.0
116	1678811708571246.2	0.0004223378472752522	1724	299.98157	508	9607.398	557.40955	508	18334.242	0.0	0	0.0	0.0	0	0.0	243.98685	939	7887.1543	75.64899	939	2021.956	0.0	0	0.0	0.0	0	0.0
117	1678811709323871.0	0.00045302093685363335	3120	547.95154	510	18699.355	852.03925	510	27962.904	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	79.63211	1290	2198.077	0.0	0	0.0	0.0	0	0.0
121	1678811719196632.5	0.00047098748928619324	8376	383.9813	510	13159.211	246.84732	510	7505.6973	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	95.54932	2604	2716.6252	0.0	0	0.0	0.0	0	0.0
122	1678811724944519.0	5.583184576307429e-05	864	527.94354	509	18147.234	517.5935	509	16759.322	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	985.7437	725	45599.62	0.0	0	0.0	0.0	0	0.0
123	1678811725007274.0	0.0033493952057974986	4558	327.98657	509	11411.2705	302.59595	508	9435.009	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	83.615265	1648	2322.417	0.0	0	0.0	0.0	0	0.0
125	1678811726310259.0	0.00023393077019295738	348	335.98364	509	11735.359	668.8915	509	21479.525	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	985.7437	596	57262.582	0.0	0	0.0	0.0	0	0.0
127	1678811731327270.8	8.084840300625121e-05	1834	259.98096	508	8103.035	250.83047	509	8131.257	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	404.06616	967	12614.228	0.0	0	0.0
129	1678811737167124.2	5.380974456959736e-05	1360	347.9792	509	11915.51	985.7437	509	32924.83	0.0	0	0.0	0.0	0	0.0	447.97305	849	15323.313	254.81361	849	7688.85	0.0	0	0.0	0.0	0	0.0
130	1678811737347556.5	0.0007442945132406424	286	239.98833	508	7531.1157	394.17752	509	12967.208	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	83.18466	580	2463.8022	0.0	0	0.0
131	1678811738836260.8	0.00011626702146792079	2184	383.9813	509	12183.264	836.1067	509	27019.252	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	123.431366	1055	3769.9932	0.0	0	0.0	0.0	0	0.0
132	1678811740226754.2	0.0001279112453702902	622	167.98413	509	5426.813	621.10913	508	19639.729	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	258.79675	664	8438.282	0.0	0	0.0	0.0	0	0.0
133	1678811743896313.0	3.722938041344754e-05	2164	435.97748	509	14371.381	541.477	509	17296.4	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	134.68872	1050	3989.1199	0.0	0	0.0
134	1678811745734956.2	0.00011799521717408716	672	255.98242	508	8075.185	298.6128	508	9183.747	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	983.2831	676	39428.49	0.0	0	0.0
135	1678811756792692.0	2.0569409997091174e-05	3230	275.99042	510	9487.42	792.3228	510	25185.982	0.0	0	0.0	0.0	0	0.0	115.987946	1317	3770.831	222.9638	1318	6987.647	0.0	0	0.0	0.0	0	0.0
140	1678811768910927.2	9.684336040407892e-05	2914	399.9754	510	13387.428	278.71246	509	8986.838	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	51.50406	1238	1248.0537	0.0	0	0.0
142	1678811772445329.0	6.730889604561687e-05	226	307.97858	508	10215.142	298.6128	507	9096.117	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	102.99274	564	3539.5386	0.0	0	0.0
143	1678811774905223.5	9.256042887559723e-05	640	303.98007	508	10663.564	342.41205	508	10890.109	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	59.424194	668	1422.3431	0.0	0	0.0
144	1678811775635089.0	0.00031784028019596995	268	351.97772	509	11443.337	266.76306	509	8071.0938	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	396.14603	576	12994.549	322.0196	576	10338.062
