counter	timestamp	deadtime	chA_height	chA_position	chA_integral	chB_height	chB_position	chB_integral	chC_height	chC_position	chC_integral	chD_height	chD_position	chD_integral
69	1679327161057771.5	0.015787728026533998	298.86182	100	6.179261e-08	384.12228	100	8.024481e-08	171.16113	100	3.7254859375e-08	336.472	100	7.015492e-08
70	1679327161059072.8	0.03581603581603582	309.18533	100	6.550565e-08	545.49756	100	1.1472466e-07	160.15662	100	3.519964990234376e-08	225.72311	100	4.6690587e-08
71	1679327161120158.2	0.0048000870623078505	410.2044	100	8.593927e-08	325.41656	100	6.8509785e-08	424.8694	100	8.903739892578125e-08	496.4413	100	1.0420507e-07
73	1679327161244307.5	0.00235011061534909	545.5735	100	1.1447092e-07	202.63715	100	4.297894e-08	0.0	0	0.0	240.29503	100	4.983454e-08
74	1679327161277369.8	0.002226334354941306	278.14014	100	5.8256532e-08	779.47034	100	1.6282837e-07	253.52759	100	5.3381825683593746e-08	430.0974	100	9.0076675e-08
75	1679327161448885.5	0.0013054902810415035	696.12317	100	1.4570003e-07	398.46405	100	8.434584e-08	231.91261	100	5.1137646728515625e-08	266.00388	100	5.5607387e-08
76	1679327161454608.5	0.012760126744883103	349.72433	100	7.617067e-08	197.5929	100	4.3033744e-08	0.0	0	0.0	0.0	0	0.0
77	1679327161460961.5	0.018150646640080505	197.62372	100	4.187966e-08	703.6963	100	1.4763397e-07	328.01523	100	6.90193525390625e-08	284.27426	100	5.6889988e-08
78	1679327161464619.2	0.016490066225165564	249.63696	100	5.4600015e-08	0.0	0	0.0	549.7547	100	1.1558124658203127e-07	479.653	100	1.0001911e-07
79	1679327161475414.0	0.02127151051625239	441.2493	100	9.197251e-08	410.00708	100	8.573434e-08	535.97595	100	1.1184819580078126e-07	500.2967	100	1.0440856e-07
80	1679327161495971.8	0.010860736580724513	293.88272	100	6.212283e-08	282.9674	100	5.9027723e-08	365.41507	100	7.697172070312501e-08	547.911	100	1.140368e-07
81	1679327161520847.0	0.009113560134163872	635.06934	100	1.3310907e-07	324.814	100	6.8744725e-08	404.30087	100	8.428467333984375e-08	400.9017	100	8.746332e-08
